NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,ThroughputWrong,Size,Throughput
8,Vector,80,7580505.016,94756.3127,47378.15635,135083348.38361,1600000,135083348.38361
8,Hashmap,80,12580007.352,157250.0919,78625.04595,17184244.32921,168889,8592122.164605
9,Sequence,900000,101641524.295,112.93503,56.46751,283348.76124,4,283348.76124
9,Vector,90,9403814.97,104486.833,52243.4165,122503473.7152,1600000,122503473.7152
9,Hashmap,90,15705277.033,174503.07814,87251.53907,15485251.19862,168889,7742625.59931
10,Sequence,1000000,121486838.602,121.48684,60.74342,263403.01853,4,263403.01853
10,Vector,100,11566214.207,115662.14207,57831.07104,110667153.23544,1600000,110667153.23544
10,Hashmap,100,19567044.932,195670.44932,97835.22466,13810077.14446,168889,6905038.57223
1,Sequence,100000,9895854.882,98.95855,49.47927,323367.7169,4,323367.7169
1,Vector,10,143939.441,14393.9441,7196.97205,889262867.15258,1600000,889262867.15258
1,Hashmap,10,822149.802,82214.9802,41107.4901,32867781.43626,168889,16433890.71813
2,Sequence,200000,20354545.874,101.77273,50.88636,314426.07659,4,314426.07659
2,Vector,20,494138.033,24706.90165,12353.45083,518073863.78615,1600000,518073863.78615
2,Hashmap,20,1839036.034,91951.8017,45975.90085,29387395.897,168889,14693697.9485
3,Sequence,300000,31696919.631,105.6564,52.8282,302868.54722,4,302868.54722
3,Vector,30,1163580.835,38786.02783,19393.01392,330015748.32573,1600000,330015748.32573
3,Hashmap,30,2688452.419,89615.08063,44807.54032,30153674.8157,168889,15076837.40785
4,Sequence,400000,45165916.101,112.91479,56.4574,283399.54339,4,283399.54339
4,Vector,40,1965247.452,49131.1863,24565.59315,260526988.33368,1600000,260526988.33368
4,Hashmap,40,4083758.923,102093.97308,51046.98654,26468007.0587,168889,13234003.52935
5,Sequence,500000,53007209.682,106.01442,53.00721,301845.73185,4,301845.73185
5,Vector,50,3025888.154,60517.76308,30258.88154,211508148.1627,1600000,211508148.1627
5,Hashmap,50,5308949.368,106178.98736,53089.49368,25449705.88991,168889,12724852.944955
6,Sequence,600000,67859940.386,113.0999,56.54995,282935.7039,4,282935.7039
6,Vector,60,4469445.619,74490.76032,37245.38016,171833391.76008,1600000,171833391.76008
6,Hashmap,60,8742834,145713.9,72856.95,18544723.59878,168889,9272361.79939
7,Sequence,700000,84282722.388,120.40389,60.20194,265772.146,4,265772.146
7,Vector,70,5872232.057,83889.02939,41944.51469,152582525.91226,1600000,152582525.91226
7,Hashmap,70,10149041.48,144986.30686,72493.15343,18637787.65441,168889,9318893.827205
8,Sequence,800000,97497998.004,121.8725,60.93625,262569.49398,4,262569.49398
8,Vector,80,7617998.338,95224.97923,47612.48961,134418511.8671,1600000,134418511.8671
8,Hashmap,80,12475709.253,155946.36566,77973.18283,17327906.22289,168889,8663953.111445
9,Sequence,900000,108195885.038,120.21765,60.10883,266183.87557,4,266183.87557
9,Vector,90,9967581.258,110750.90287,55375.45143,115574678.56862,1600000,115574678.56862
9,Hashmap,90,15497506.585,172194.51761,86097.25881,15692857.34232,168889,7846428.67116
10,Sequence,1000000,117609090.008,117.60909,58.80455,272087.81224,4,272087.81224
10,Vector,100,12254130.97,122541.3097,61270.65485,104454571.53458,1600000,104454571.53458
10,Hashmap,100,18793989.64,187939.8964,93969.9482,14378128.60261,168889,7189064.301305
